Frequency (MHz),Time of Day,Occupancy (%),Field Strength (dBuV/m)
853.8,643,100,81
853.8,703,100,82
853.8,763,100,81
853.8,823,100,81
853.8,883,100,81
854.4,643,100,81
854.4,703,100,81
854.4,763,100,81
854.4,823,100,81
854.4,883,100,81
855.0,643,100,92
855.0,703,100,92
855.0,763,100,92
855.0,823,100,92
855.0,883,100,92
855.6,643,100,93
855.6,703,100,93
855.6,763,100,93
855.6,823,100,93
855.6,883,100,93
870.0,643,3,82
870.0,703,3,83
870.0,763,1,79
870.0,823,9,82
870.0,883,4,80
870.6,643,3,82
870.6,703,3,83
870.6,763,1,79
870.6,823,8,82
870.6,883,4,80
871.2,643,3,81
871.2,703,3,83
871.2,763,1,79
871.2,823,9,82
871.2,883,4,80
871.8,643,3,81
871.8,703,3,82
871.8,763,1,79
871.8,823,8,82
871.8,883,4,80
872.4,643,3,81
872.4,703,3,82
872.4,763,1,79
872.4,823,8,82
872.4,883,4,80
873.0,643,3,81
873.0,703,3,82
873.0,763,1,79
873.0,823,7,82
873.0,883,3,80
873.6,643,1,77
873.6,703,1,78
873.6,823,1,77
873.6,883,1,75
874.8,643,99,81
874.8,703,93,81
874.8,763,99,78
874.8,823,98,80
874.8,883,97,80
875.4,643,100,82
875.4,703,100,82
875.4,763,100,80
875.4,823,100,81
875.4,883,100,81
876.0,643,100,83
876.0,703,100,82
876.0,763,100,80
876.0,823,100,81
876.0,883,100,81
876.6,643,100,82
876.6,703,100,82
876.6,763,100,79
876.6,823,100,81
876.6,883,100,81
877.2,643,100,83
877.2,703,100,83
877.2,763,100,80
877.2,823,100,81
877.2,883,100,82
877.8,643,100,83
877.8,703,100,83
877.8,763,100,80
877.8,823,100,82
877.8,883,100,82
878.4,643,99,81
878.4,703,94,82
878.4,763,99,78
878.4,823,98,80
878.4,883,98,80
879.6,643,100,79
879.6,703,100,79
879.6,763,100,80
879.6,823,100,78
879.6,883,100,79
880.2,643,100,84
880.2,703,100,84
880.2,763,100,85
880.2,823,100,83
880.2,883,100,84
880.8,643,100,84
880.8,703,100,83
880.8,763,100,84
880.8,823,100,83
880.8,883,100,84
881.4,643,100,85
881.4,703,100,84
881.4,763,100,85
881.4,823,100,84
881.4,883,100,85
882.0,643,100,85
882.0,703,100,83
882.0,763,100,85
882.0,823,100,83
882.0,883,100,84
882.6,643,100,84
882.6,703,100,83
882.6,763,100,84
882.6,823,100,83
882.6,883,100,84
883.2,643,100,84
883.2,703,100,83
883.2,763,100,84
883.2,823,100,83
883.2,883,100,84
883.8,643,100,76
883.8,703,98,74
883.8,763,99,75
883.8,823,99,74
883.8,883,100,75
954.0,643,100,85
954.0,703,100,85
954.0,763,100,86
954.0,823,100,86
954.0,883,100,86
954.6,643,100,85
954.6,703,100,85
954.6,763,100,85
954.6,823,100,86
954.6,883,100,86
955.2,643,100,85
955.2,703,100,85
955.2,763,100,85
955.2,823,100,85
955.2,883,100,85
955.8,643,100,85
955.8,703,100,85
955.8,763,100,85
955.8,823,100,85
955.8,883,100,85
956.4,643,100,85
956.4,703,100,85
956.4,763,100,85
956.4,823,100,85
956.4,883,100,85
957.0,643,100,85
957.0,703,100,85
957.0,763,100,85
957.0,823,100,85
957.0,883,100,85
957.6,643,100,85
957.6,703,100,86
957.6,763,100,86
957.6,823,100,86
957.6,883,100,86
958.2,643,100,85
958.2,703,100,85
958.2,763,100,85
958.2,823,100,86
958.2,883,100,85
958.8,643,100,85
958.8,703,100,85
958.8,763,100,86
958.8,823,100,85
958.8,883,100,85
959.4,643,100,90
959.4,703,100,90
959.4,763,100,90
959.4,823,100,90
959.4,883,100,90
960.0,643,100,81
960.0,703,100,81
960.0,763,100,81
960.0,823,100,81
960.0,883,100,81
1845.0,643,37,85
1845.0,703,44,88
1845.0,763,38,86
1845.0,823,29,85
1845.0,883,42,84
2161.8,643,100,89
2161.8,703,100,89
2161.8,763,100,90
2161.8,823,100,91
2161.8,883,100,90
2162.4,643,100,90
2162.4,703,100,89
2162.4,763,100,90
2162.4,823,100,91
2162.4,883,100,90
2163.0,643,100,87
2163.0,703,100,88
2163.0,763,100,90
2163.0,823,100,91
2163.0,883,100,89
2163.6,643,100,88
2163.6,703,100,89
2163.6,763,100,91
2163.6,823,100,91
2163.6,883,100,89
2164.2,643,100,88
2164.2,703,100,89
2164.2,763,100,90
2164.2,823,100,90
2164.2,883,100,89
2164.8,643,100,88
2164.8,703,100,89
2164.8,763,100,90
2164.8,823,100,90
2164.8,883,100,89
2165.4,643,100,88
2165.4,703,100,89
2165.4,763,100,90
2165.4,823,100,91
2165.4,883,100,89
2166.0,643,100,89
2166.0,703,100,89
2166.0,763,100,90
2166.0,823,100,91
2166.0,883,100,90
2166.6,643,100,89
2166.6,703,100,90
2166.6,763,100,91
2166.6,823,100,92
2166.6,883,100,90
2167.2,643,100,89
2167.2,703,100,89
2167.2,763,100,90
2167.2,823,100,91
2167.2,883,100,89
2167.8,643,100,89
2167.8,703,100,88
2167.8,763,100,90
2167.8,823,100,91
2167.8,883,100,89
2168.4,643,100,88
2168.4,703,100,89
2168.4,763,100,90
2168.4,823,100,91
2168.4,883,100,89
2169.0,643,100,89
2169.0,703,100,89
2169.0,763,100,90
2169.0,823,100,91
2169.0,883,100,89
2169.6,643,81,84
2169.6,703,88,85
2169.6,763,88,85
2169.6,823,97,86
2169.6,883,94,85
2311.2,643,99,89
2311.2,703,100,85
2311.2,763,100,86
2311.2,823,100,86
2311.2,883,99,85
2311.8,643,99,87
2311.8,703,100,90
2311.8,763,100,88
2311.8,823,100,87
2311.8,883,99,86
2312.4,643,99,86
2312.4,703,100,89
2312.4,763,100,87
2312.4,823,100,87
2312.4,883,99,86
2313.0,643,99,88
2313.0,703,100,91
2313.0,763,100,88
2313.0,823,100,88
2313.0,883,99,88
2313.6,643,99,88
2313.6,703,100,90
2313.6,763,100,89
2313.6,823,100,89
2313.6,883,99,89
2314.2,643,99,89
2314.2,703,100,90
2314.2,763,100,89
2314.2,823,100,89
2314.2,883,99,89
2314.8,643,99,88
2314.8,703,100,88
2314.8,763,100,89
2314.8,823,100,89
2314.8,883,99,87
2315.4,643,100,93
2315.4,703,100,91
2315.4,763,100,88
2315.4,823,100,88
2315.4,883,99,88
2316.0,643,99,88
2316.0,703,100,87
2316.0,763,100,88
2316.0,823,100,88
2316.0,883,99,87
2316.6,643,99,88
2316.6,703,100,87
2316.6,763,100,87
2316.6,823,100,88
2316.6,883,99,87
2317.2,643,99,88
2317.2,703,100,91
2317.2,763,100,87
2317.2,823,100,87
2317.2,883,99,88
2317.8,643,99,88
2317.8,703,100,89
2317.8,763,100,88
2317.8,823,100,88
2317.8,883,99,88
2318.4,643,99,89
2318.4,703,100,89
2318.4,763,100,88
2318.4,823,100,88
2318.4,883,99,88
2319.0,643,99,88
2319.0,703,100,90
2319.0,763,100,88
2319.0,823,100,88
2319.0,883,99,88
2319.6,643,100,90
2319.6,703,100,94
2319.6,763,100,88
2319.6,823,100,88
2319.6,883,99,88
2359.8,643,100,87
2359.8,703,100,87
2359.8,763,100,87
2359.8,823,100,87
2359.8,883,100,85
2360.4,643,98,88
2360.4,703,100,88
2360.4,763,100,88
2360.4,823,100,87
2360.4,883,99,85
2361.0,643,97,88
2361.0,703,100,88
2361.0,763,100,88
2361.0,823,100,87
2361.0,883,98,85
2361.6,643,95,87
2361.6,703,100,88
2361.6,763,99,88
2361.6,823,100,88
2361.6,883,94,85
2362.2,643,88,87
2362.2,703,98,87
2362.2,763,96,87
2362.2,823,96,87
2362.2,883,89,84
2362.8,643,91,87
2362.8,703,100,87
2362.8,763,98,87
2362.8,823,98,87
2362.8,883,90,85
2363.4,643,93,87
2363.4,703,99,88
2363.4,763,98,88
2363.4,823,98,88
2363.4,883,90,85
2364.0,643,100,88
2364.0,703,100,89
2364.0,763,100,89
2364.0,823,100,88
2364.0,883,99,86
2364.6,643,99,89
2364.6,703,100,89
2364.6,763,100,89
2364.6,823,100,89
2364.6,883,99,86
2365.2,643,99,90
2365.2,703,100,90
2365.2,763,100,90
2365.2,823,100,90
2365.2,883,99,87
2365.8,643,99,89
2365.8,703,100,90
2365.8,763,100,90
2365.8,823,100,90
2365.8,883,99,87
2366.4,643,100,90
2366.4,703,100,91
2366.4,763,100,90
2366.4,823,100,90
2366.4,883,99,87
2367.0,643,99,89
2367.0,703,100,90
2367.0,763,100,89
2367.0,823,100,89
2367.0,883,99,86
2367.6,643,99,88
2367.6,703,100,90
2367.6,763,100,90
2367.6,823,100,90
2367.6,883,99,87
2368.2,643,99,88
2368.2,703,100,91
2368.2,763,100,90
2368.2,823,100,90
2368.2,883,99,87
2368.8,643,51,85
2368.8,703,67,87
2368.8,763,71,87
2368.8,823,54,87
2368.8,883,27,85
